lo_id,course_name,group_name
544783,"Академическое письмо (Academic Writing)",26.09
599986,"Первые шаги в робототехнику",26.09
599986,"Математика для начинающих",26.09
609379,"Академическое письмо (Academic Writing)",26.09
599986,"Биологический калейдоскоп",26.09
599986,"Подготовка к олимпиаде «Русский медвежонок»",26.09
599986,"Основы программирования на языке Python",26.09
584066,"Основы программирования на языке Python",26.09
609381,"Основы программирования на языке Python",26.09
411097,"Основы программирования на языке Python",26.09
584066,"Первые шаги в робототехнику",26.09
584066,"Математика для начинающих",26.09
584066,"Лингвистика для начинающих",26.09
584066,"Биологический калейдоскоп",26.09
609137,"Математика для начинающих",26.09
584066,"Академическое письмо (Academic Writing)",26.09
584066,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609064,"Биологический калейдоскоп",26.09
497450,"Академическое письмо (Academic Writing)",26.09
599594,"Математика для начинающих",26.09
606237,"Основы программирования на языке Python",26.09
609297,"Математика для начинающих",26.09
609387,"Основы программирования на языке Python",26.09
593611,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609382,"Академическое письмо (Academic Writing)",26.09
609228,"Первые шаги в робототехнику",26.09
609228,"Биологический калейдоскоп",26.09
609272,"Биологический калейдоскоп",26.09
609228,"Математика для начинающих",26.09
609387,"Математика для начинающих",26.09
609226,"Первые шаги в робототехнику",26.09
